"BehaviorSpace results (NetLogo 6.1.0)"
"pollution.nlogo"
"experiment"
"04/06/2022 12:41:06:021 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","popular-dest-%","%-buses","num-people","[step]","mean [total-pollution] of patches","mean [total-pollution] of patches with [popular? = true]","mean [total-pollution] of patches with [popular? = false]"
"1","75","0","100","100","7.623452044287604","15.885560630140146","7.19238550937357"
"2","75","0","100","100","7.490397640059949","16.707824030850386","7.009488437062186"
"3","75","0","100","100","7.467173182150281","16.510464296905702","6.995349297902174"
"4","75","0","100","100","7.510456273686212","17.20528317594719","7.004639217916071"
"5","75","0","100","100","7.548556578381343","16.962827123096847","7.057377245613578"
"6","75","0","100","100","7.428657604729943","16.226209346117","6.969654905179321"
"7","75","0","100","100","7.4101709868704635","16.6810368115286","6.926473639496998"
"8","75","0","100","100","7.440617028515543","16.258004707280204","6.98057941049304"
"9","75","0","100","100","7.536109550265856","16.260242127057207","7.080937415824564"
"10","75","0","100","100","7.471433397069102","16.975310965554648","6.975578915235081"
"11","75","0.1","100","100","6.9335241496923885","14.866084230498366","6.519651449824259"
"12","75","0.1","100","100","6.707149268866494","14.095459856426567","6.321672194732938"
"13","75","0.1","100","100","6.871659173792458","15.132449888595838","6.440661397367957"
"14","75","0.1","100","100","6.981678295132043","15.439285964624924","6.540411808028064"
"15","75","0.1","100","100","6.913017341738108","15.433154913228213","6.468488424964713"
"16","75","0.1","100","100","6.78966241796888","15.11717591103442","6.355183453113283"
"17","75","0.1","100","100","6.841351366990545","15.546892253332256","6.387149233790106"
"18","75","0.1","100","100","6.956546922203654","15.543361268749875","6.508539217166464"
"19","75","0.1","100","100","6.985071867520632","15.316386105823065","6.550394602913549"
"20","75","0.1","100","100","6.964635569258951","14.84434690048276","6.553520195455969"
"21","75","0.2","100","100","5.998236297245771","13.073288955778184","5.62910311506147"
"22","75","0.2","100","100","6.061906761019292","13.808390158846667","5.657742409828287"
"23","75","0.2","100","100","6.234874409066136","13.548262903971565","5.853306313679774"
"24","75","0.2","100","100","6.072067972583001","13.59164429340307","5.679742251496743"
"25","75","0.2","100","100","6.173290666933008","13.707321105812449","5.780210817947995"
"26","75","0.2","100","100","6.063224001701399","12.721145768579614","5.715854170386019"
"27","75","0.2","100","100","6.032102060662844","13.726631078279981","5.630648372787171"
"28","75","0.2","100","100","6.078145090815409","13.34196419456766","5.699163224532691"
"29","75","0.2","100","100","6.09455484653144","13.455761064003608","5.71049191344593"
"30","75","0.2","100","100","6.170497357896241","13.30105543922941","5.798468240609289"
"31","75","0.3","100","100","5.292014600625428","11.249797770693085","4.981173739578415"
"32","75","0.3","100","100","5.498802066009591","11.970400849069618","5.161153433849934"
"33","75","0.3","100","100","5.247129160817078","11.503441098515758","4.920712885806717"
"34","75","0.3","100","100","5.335097316747538","11.907924251657365","4.9921672157957175"
"35","75","0.3","100","100","5.3839220791624935","11.231247959755466","5.078844207131551"
"36","75","0.3","100","100","5.391233626589098","11.83352148386208","5.0551142601226795"
"37","75","0.3","100","100","5.449244219050368","12.316668942623405","5.090943798690027"
"38","75","0.3","100","100","5.436678352182735","11.844327248148238","5.102366235871499"
"39","75","0.3","100","100","5.331453606904311","11.518964926117157","5.008626929380164"
"40","75","0.3","100","100","5.338089893704658","11.694607799532104","5.006445481226702"
"41","75","0.4","100","100","4.724386207859762","10.406713769471587","4.427916943775675"
